,1101 猟,1102 ㄈ猟,1216 参,1301 鹅,1303 玭ㄈ,1326 て,1402 环狥穝,2002 い葵,2105 タ穝,2633 芖蔼臟,2801 裹蝗,2823 い关,2880 地玭,2881 碔ü,2882 瓣,2883 秨祇,2884 ド,2885 じ,2886 伦,2887 穝,2890 ッ伦,2891 い獺,2892 材,5876 坝蝗,5880 畐,2912 参禬,5871 い-KY,9904 腳Θ,6505 鹅て,2303 羛筿,2330 縩筿,2408 玭ㄈ,2454 羛祇,3711 らるщ北,2301 腳,2357 地河,2382 約笷,2395 地,4938 ㎝河,2409 ね笷,3008 ミ,3481 竤承,2412 い地筿,3045 芖,4904 环肚,2308 笷筿,2327 瓣エ,2317 翬,2354 翬非,2474 Θ
2016/1/15,21.82,23.14,46.01,65.07,47.74,60.48,22.22,15.91,43.91,,12.26,17.81,11.02,31.99,30.76,5.98,11.98,9.1,16.7,7.72,6.64,12.12,11.64,,10.2,174.46,43.37,35.23,67.79,9.96,123.09,36.91,182.19,,25.39,233.28,42.11,175.09,54.41,7.48,"1,931.41",8.61,88.18,84.16,58.22,129.53,67.71,74.44,51.45,196.45
2016/1/18,21.58,23.05,45.32,65.07,47.66,59.72,21.95,15.73,43.52,,12.18,17.85,10.87,32.47,30.33,6.07,11.87,9.19,16.53,7.95,6.67,12.16,11.49,,10.16,179.69,44.15,35.14,67.97,9.88,123.09,37.26,186.63,,25.51,227.39,41.6,171.76,57.01,7.5,"1,907.51",8.55,87.3,84.16,58.82,125.94,68.75,74.05,53.91,196.9
2016/1/19,21.5,23.14,45.66,65.07,47.4,59.72,21.77,15.96,43.91,,12.18,17.93,10.94,32.29,30.59,6.13,12.02,9.19,16.83,7.88,6.72,12.2,11.45,,10.28,183.18,43.98,34.13,67.36,9.88,123.99,35.83,192.41,,25.8,227.39,41.56,171.76,58.85,7.47,"1,936.19",8.56,88.61,84.16,59.34,121.46,68.36,74.44,54.87,208.59
2016/1/20,21.17,23.05,46.1,65.5,47.07,58.95,21.59,15.59,43.39,,12.18,17.66,10.98,31.03,29.38,5.96,11.65,9.02,16.45,7.72,6.54,11.88,11.41,,10.28,184.05,42.68,33.12,67.88,9.83,120.85,33.4,186.63,,25.76,221.51,40.97,168.42,55.42,7.22,"1,816.67",8.33,88.61,83.3,59,116.98,67.71,72.27,52.59,193.31
2016/1/21,20.97,22.73,45.49,63.69,46.23,57.76,21.19,15.59,42.86,,12.1,17.74,10.75,30.42,29.12,5.83,11.58,8.94,16.2,7.65,6.44,11.6,11.21,,10.12,180.56,42.94,32.64,67.88,9.83,121.29,33.75,186.63,,25.51,220.67,40.25,162.17,56.34,7.27,"1,945.75",8.43,87.74,83.3,58.56,114.29,68.23,71.87,52.59,197.35
2016/1/22,20.81,22.77,45.49,64.12,46.56,58.61,21.1,15.96,42.91,,12.18,17.5,10.87,30.42,29.55,5.9,11.58,9.15,16.24,7.72,6.41,11.68,11.29,,10.16,183.18,43.46,31.76,68.65,9.96,124.44,34.96,188.41,,25.96,224.45,41.01,167.17,61.37,7.33,"1,907.51",8.45,87.74,85.27,59,119.67,68.23,73.95,53.3,197.35
2016/1/25,20.97,22.95,46.36,65.5,47.49,60.06,21.19,16.28,43.74,,12.55,17.78,11.25,31.47,30.55,6.1,12.38,9.24,16.83,8.07,6.74,11.88,11.41,,10.4,184.05,45.01,32.73,69.69,10.14,125.34,35.13,190.63,,26.87,228.23,43.04,169.26,62.96,7.32,"1,984",8.53,89.05,85.79,60.29,125.05,68.23,75.13,54.35,205.44
2016/1/26,20.68,22.64,46.1,64.98,46.73,59.46,20.56,16.23,43.83,,12.47,17.54,11.06,30.73,29.55,6.48,12.13,9.02,16.66,7.95,6.61,11.64,11.37,,10.28,182.74,44.66,32.29,69.69,10.36,123.54,34.87,185.74,,26.05,223.61,42.15,168.01,60.45,7.28,"2,141.76",8.63,89.05,84.42,59.95,122.36,66.81,74.64,53.56,202.3
2016/1/27,20.68,22.73,46.97,64.55,46.73,59.72,20.56,16.09,43.83,,12.67,17.39,11.18,30.77,29.55,6.42,11.94,9.02,16.66,7.95,6.56,11.64,11.45,,10.36,188.41,44.49,31.8,69,10.36,125.34,34.53,187.52,,26.75,224.45,42.11,173.01,62.04,7.2,"2,065.27",8.49,89.05,85.19,60.64,121.01,67.2,74.44,53.91,200.95
2016/1/28,20.97,22.82,48.1,65.16,47.32,59.72,20.78,16.05,44.35,,12.79,17.5,11.06,31.08,29.59,6.43,11.94,9.02,17.04,7.99,6.67,11.68,11.68,,10.56,191.9,44.41,33.17,68.83,11.29,125.79,33.61,184.85,,28.32,223.19,43.21,168.42,61.54,7.23,"2,160.88",8.59,89.49,85.53,59.34,121.01,67.46,74.24,53.3,206.79
2016/1/29,21.58,23.64,48.27,66.36,48.67,60.82,21.23,16.19,44.88,,13.39,18.2,11.45,31.68,31.28,6.66,12.53,9.24,17.8,8.22,7.09,12.44,12,,10.91,191.46,45.27,36.28,70.55,11.38,128.48,34.4,190.19,,29.07,225.71,44.47,165.5,62.79,7.08,"2,270.84",8.57,89.92,85.87,59.43,125.05,67.71,76.91,55.93,219.83
2016/1/30,22.14,23.82,48.01,65.93,49.09,60.74,21.73,16.14,45.93,,13.43,18.59,11.6,33.21,32.58,6.81,12.89,9.69,18.13,8.33,7.28,12.88,12.08,,10.95,191.9,45.44,36.02,70.46,11.29,127.58,35.44,193.3,,28.86,228.23,44.98,169.26,64.39,7.24,"2,390.36",8.77,89.49,85.79,59.43,126.84,68.23,77.31,56.71,232.87
2016/2/1,22.1,24,48.36,65.67,49.68,61.25,21.77,16.41,46.98,,13.15,18.36,11.6,33.38,32.06,6.71,12.45,9.69,18.26,8.33,7.22,12.68,12.12,,10.95,192.77,44.92,35.23,70.98,11.43,129.38,34.27,186.63,,29.4,231.18,45.32,172.59,65.14,7.3,"2,246.94",8.74,89.92,85.79,60.47,123.7,69.14,78.59,56.71,226.57
2016/2/2,21.78,23.73,48.97,65.93,50.01,61.25,21.73,16.73,46.46,,12.99,18.28,11.56,33.47,32.06,6.56,12.13,9.69,18.26,8.22,7.17,12.44,12,,10.83,193.21,45.18,34.7,70.89,11.6,128.03,33.79,188.41,,30.84,230.76,45.91,176.34,65.39,7.1,"2,246.94",8.77,89.92,85.53,60.29,121.91,69.14,77.51,56.54,218.03
2016/2/3,21.58,23.23,47.67,64.9,49.51,60.06,21.77,16.41,46.46,,12.67,17.7,11.33,32.9,31.02,6.39,12.05,9.46,17.92,8.07,7.07,12.24,11.8,,10.71,191.9,45.27,33.91,69.17,11.43,131.18,33.05,177.74,,30.22,227.81,44.39,171.76,63.97,6.93,"2,246.94",8.48,89.92,85.53,60.03,118.77,67.97,75.73,56.01,213.54
2016/2/15,21.94,23.41,48.97,65.33,49.93,60.74,21.5,16.78,46.63,,12.79,17.19,11.48,31.64,30.33,6.43,12.09,9.37,17.92,7.95,7.09,11.96,12,,10.75,193.21,44.41,34.84,69.34,11.69,130.28,32.96,182.63,,28.98,226.55,45.48,172.59,63.97,6.82,"2,280.40",8.24,91.23,85.1,60.9,120.56,70.57,73.85,54.79,208.59
2016/2/16,22.91,24.32,49.14,65.85,50.52,61,22.44,17.23,48.21,,13.15,17.74,11.76,33.34,31.76,6.61,12.13,9.73,18.26,8.33,7.34,12.4,12.16,,10.99,195.39,45.87,34.92,69.26,11.65,132.53,33.61,187.96,,30.76,228.65,45.57,171.34,65.9,7.11,"2,457.29",8.43,91.67,85.87,60.38,126.39,70.96,75.73,56.36,225.23
2016/2/17,22.83,24.5,48.8,66.19,50.77,60.91,22.13,17.28,48.03,,12.91,17.5,11.56,32.77,31.2,6.58,11.98,9.64,18.17,8.3,7.27,12.28,12,,10.95,192.34,45.27,35.41,69.69,11.74,132.97,33.92,186.63,,31.13,230.76,45.99,172.18,65.56,7,"2,347.33",8.23,92.11,87.16,59.78,124.6,71.74,75.83,56.28,222.08
2016/2/18,23.56,24.5,49.58,66.97,51.78,62.02,22.31,17.37,48.21,,12.91,17.7,11.72,33.29,31.97,6.63,12.42,9.73,18.3,8.37,7.29,12.48,12.08,,10.91,198.01,45.96,36.46,71.41,11.87,135.67,33.92,195.52,,30.84,232.44,46.67,176.34,66.48,7.14,"2,356.89",8.29,91.23,87.59,60.21,125.05,71.74,76.81,56.89,226.57
2016/2/19,23.6,24.45,49.58,67.31,52.37,61.85,22.31,17.37,48.39,,13.07,17.7,11.87,33.29,32.06,6.56,12.64,9.69,18.17,8.22,7.23,12.48,12.2,,11.03,198.01,45.35,36.15,71.41,11.69,135.67,34.57,195.96,,31.01,228.23,47.09,179.68,65.81,7.01,"2,423.82",8.33,91.67,86.73,59.69,126.39,69.92,75.83,55.93,227.47
2016/2/22,23.77,24.77,49.4,67.05,52.12,61.51,22.58,17.64,48.56,,12.91,17.85,11.87,33.34,31.97,6.6,12.56,9.64,18.26,8.3,7.19,12.52,12.2,,10.99,194.95,45.87,36.42,70.72,11.69,135.67,35.13,203.52,,30.47,226.97,47.51,181.35,66.4,6.93,"2,442.95",8.21,90.8,86.73,59.78,125.05,70.05,75.83,56.98,227.02
2016/2/23,23.77,24.59,49.23,66.71,51.61,61.68,22.67,18.42,49,,12.99,17.74,11.87,33.6,32.15,6.61,12.45,9.69,18.26,8.37,7.22,12.6,12.2,,11.03,195.39,45.96,36.33,70.98,11.69,134.32,34.92,205.29,,31.01,227.39,46.5,184.68,65.64,7.07,"2,447.73",8.32,90.8,87.59,59,122.36,69.53,76.12,57.85,222.08
2016/2/24,23.69,24.77,48.01,66.36,52.54,62.19,22.22,18.37,49.17,,13.03,17.58,11.79,33.34,31.72,6.62,12.42,9.6,18.17,8.22,7.15,12.48,12.16,,11.03,197.13,45.87,34.88,71.84,11.69,132.97,34.92,201.74,,31.22,224.45,46.92,179.68,64.97,7.39,"2,442.95",8.5,89.92,85.87,58.91,119.22,70.57,75.63,57.15,224.78
2016/2/25,23.93,25.18,49.06,67.4,52.2,62.19,22.4,18.42,51.1,,13.07,17.89,11.91,33.99,31.97,6.66,12.31,9.69,18.26,8.3,7.22,12.72,12.16,,11.07,197.57,45.87,36.5,72.61,11.74,135.22,35.05,208.41,,30.88,229.07,46.83,180.93,64.97,7.51,"2,428.60",9,91.23,87.59,59.69,116.98,70.96,77.61,57.33,226.12
2016/2/26,24.33,25.04,49.84,68.09,53.72,63.72,22.67,18.78,51.1,,13.15,17.89,11.99,34.29,32.32,6.71,12.53,9.6,18.43,8.41,7.27,12.96,12.28,,11.19,196.7,47.68,36.24,72.61,11.82,133.87,35.74,209.74,,31.71,229.92,47.42,191.77,66.23,7.43,"2,423.82",8.78,91.23,88.02,60.12,120.56,71.35,77.11,57.42,233.77
2016/3/1,24.21,25,49.75,68.52,54.56,63.81,22.85,18.78,50.93,,13.07,17.78,11.95,34.25,32.1,6.71,12.49,9.73,18.34,8.37,7.25,12.92,12.4,,11.15,194.08,48.71,36.72,74.25,11.87,136.57,35.44,206.63,,31.46,229.49,47.68,194.27,67.07,7.46,"2,600.71",8.74,92.11,88.88,60.38,120.56,71.74,76.81,58.03,247.25
2016/3/2,24.29,24.91,49.14,68.95,54.39,64.4,23.29,19.06,50.84,,13.19,18.16,12.06,34.9,33.1,6.76,12.53,9.96,18.34,8.53,7.35,13.04,12.48,,11.27,199.31,48.8,36.72,73.64,11.82,137.47,35.05,207.96,,30.84,230.34,47.85,191.77,68.16,7.58,"2,619.83",9.09,92.11,88.88,60.12,122.8,71.09,78.59,60.75,250.4
2016/3/3,24.66,25.49,49.49,68.95,55.49,65.17,24.1,19.83,50.58,,13.43,18.71,12.22,35.77,34.18,6.85,12.96,10.41,18.76,8.6,7.58,13.32,12.59,,11.39,199.31,48.97,37.08,73.73,11.91,138.37,34.96,213.29,,31.09,233.7,48.52,191.77,67.07,7.58,"2,567.24",9.45,92.54,89.31,60.9,126.39,69.79,79.58,62.24,243.66
2016/3/4,24.13,25.36,49.32,68.95,55.57,65.68,24.19,20.06,50.93,,13.35,18.82,12.3,36.03,34.1,6.94,13.15,10.67,19.02,8.68,7.56,13.4,12.59,,11.35,201.06,49.4,36.64,75.36,11.87,137.02,35.96,213.29,,30.02,228.65,48.02,195.52,66.4,7.49,"2,638.95",9.54,92.54,87.59,60.64,126.39,70.83,81.96,62.85,247.7
2016/3/7,24.7,26.31,49.93,68.95,56.41,66.87,25,20.61,51.54,,13.35,19.21,12.3,35.64,34.31,7.01,13.29,10.67,19.35,8.83,7.65,13.48,12.63,,11.39,199.31,50.09,36.81,76.74,11.87,136.57,37.04,208.85,,30.22,233.7,48.02,192.6,66.32,7.39,"2,576.81",9.32,92.54,88.88,60.81,125.94,71.61,80.67,61.89,245.01
2016/3/8,24.82,26.58,50.01,68.95,56.58,67.81,24.68,20.7,52.07,,13.31,19.09,12.34,35.86,34.36,6.97,13.18,10.72,19.23,8.76,7.65,13.36,12.59,,11.39,197.57,49.91,36.81,75.71,11.69,136.57,35.91,208.85,,30.6,229.92,48.27,197.61,66.06,7.67,"2,519.44",10.13,91.67,88.45,59.69,126.39,70.05,82.05,63.29,242.76
2016/3/9,24.29,26.4,49.58,67.57,55.99,66.62,24.23,19.88,51.98,,13.31,19.44,12.14,35.38,34.23,6.88,13.22,10.54,19.23,8.79,7.58,13.36,12.59,,11.23,193.21,49.31,36.11,75.88,11.43,137.47,35.44,211.96,,30.51,236.22,48.27,191.77,65.81,7.67,"2,462.07",10,92.11,87.59,60.81,124.6,68.23,81.86,62.94,245.9
2016/3/10,24.9,26.63,50.01,68.09,55.4,65.77,24.37,19.92,51.98,,13.43,19.36,12.22,34.9,34.01,6.97,13.18,10.72,19.27,8.87,7.64,13.28,12.63,,11.39,196.26,49.05,36.46,74.93,11.65,138.81,35.18,206.63,,30.22,241.26,48.18,195.94,66.06,8,"2,452.51",10.13,92.54,88.02,60.47,127.29,68.36,82.05,62.67,242.31
2016/3/11,24.66,26.86,49.75,68.09,55.4,66.45,24.59,20.24,53.64,,13.51,19.71,12.26,35.16,34.14,7.03,13.25,10.67,19.27,8.87,7.69,13.52,12.59,,11.43,198.88,49.57,36.11,75.36,11.74,139.26,35.52,214.18,,30.43,240.42,48.44,195.94,67.07,8,"2,495.53",10.18,92.54,88.45,60.81,125.94,68.36,82.25,62.24,246.8
2016/3/14,24.9,26.54,49.4,67.92,55.23,65.77,24.23,20.2,53.82,,13.51,19.79,12.26,35.47,34.27,7.06,13.33,10.63,19.18,8.83,7.81,13.6,12.63,,11.43,198.01,49.91,35.93,75.28,11.87,140.16,36.43,231.07,,29.93,242.95,48.69,195.94,66.73,8.11,"2,505.09",10.27,92.54,88.45,60.9,127.29,69.01,83.04,63.55,252.65
2016/3/15,24.42,26.45,50.01,67.66,54.56,65.51,24.23,19.97,52.59,,13.31,19.25,12.06,34.6,33.45,6.92,13.22,10.27,18.85,8.64,7.54,13.28,12.59,,11.31,196.7,47.76,35.49,75.11,11.74,138.81,35.44,220.4,,30.02,238.74,48.69,195.52,65.9,8.07,"2,361.67",9.82,93.42,88.45,61.07,124.6,69.14,81.36,62.15,248.15
2016/3/16,24.66,26.86,49.58,67.14,55.32,65.85,24.32,20.24,53.21,,13.51,19.6,12.06,34.94,33.79,6.97,13.33,10.41,19.1,8.79,7.64,13.32,12.63,,11.31,199.75,47.33,35.85,75.71,11.74,140.16,36,224.4,,30.68,240.84,48.77,195.94,67.41,8.29,"2,476.41",10.13,93.85,88.02,61.59,127.29,69.66,82.05,63.38,253.55
2016/3/17,25.02,26.86,50.54,68.09,55.15,66.45,24.64,20.43,53.73,,13.63,19.67,12.26,35.38,33.92,7.05,13.47,10.54,19.23,8.79,7.75,13.52,12.71,,11.43,198.44,48.02,36.02,77.26,11.78,142.41,35.35,224.4,,31.13,242.1,49.79,203.44,68.16,8.14,"2,428.60",9.86,94.29,89.74,62.37,126.39,70.18,81.56,63.46,251.3
2016/3/18,25.63,27.45,50.88,69.38,56.5,67.98,24.68,20.56,55.13,,13.72,19.79,12.37,35.29,34.14,7.15,13.33,10.58,19.35,8.91,7.84,13.56,12.75,,11.47,194.95,48.28,36.2,79.75,11.78,143.31,35.18,229.29,,31.13,244.21,50.29,203.44,67.74,8.19,"2,447.73",9.91,94.73,88.45,62.2,128.63,70.44,83.04,63.99,264.79
2016/3/21,25.67,27.22,50.27,68.86,56.67,67.13,24.37,20.52,53.91,,13.72,19.87,12.22,35.12,33.88,7.13,13.22,10.58,19.31,8.87,7.73,13.6,12.71,,11.43,195.39,48.88,37.34,78.12,11.82,143.76,34.74,228.4,,31.63,242.95,49.96,195.94,66.4,8.21,"2,452.51",10.09,94.29,89.31,61.76,130.42,70.44,83.54,63.81,260.29
2016/3/22,26.04,27.72,50.45,68.6,56.41,67.21,24.64,20.65,54.61,,13.59,19.87,12.3,35.07,33.58,7.13,13.18,10.36,19.27,8.79,7.74,13.48,12.71,,11.43,192.34,48.88,37.29,81.3,11.78,142.41,34.57,220.4,,31.46,242.95,49.87,199.27,65.06,8.05,"2,485.97",9.91,95.16,90.17,61.33,130.87,70.31,83.34,62.94,256.24
2016/3/23,25.63,27.67,50.88,68.86,56.33,67.21,24.32,20.65,55.05,,13.68,19.87,12.37,34.77,33.49,7.13,13.18,10.41,19.35,8.79,7.74,13.48,12.71,,11.47,194.52,48.54,36.81,80.01,11.69,143.31,34.61,216.4,,31.59,243.37,48.94,201.77,63.3,8.02,"2,471.63",9.91,95.16,90.17,62.37,129.98,69.79,83.24,62.59,254.9
2016/3/24,25.02,27.4,50.1,69.12,56.83,67.9,24.37,20.65,54.87,,13.59,19.79,12.3,34.6,32.84,7.13,13.25,10.41,19.31,8.76,7.82,13.52,12.67,,11.43,198.44,48.36,36.94,80.27,11.74,142.41,34.66,218.63,,31.71,242.95,48.69,200.11,63.8,7.87,"2,433.38",9.86,96.03,90.17,62.72,128.18,68.75,83.54,63.03,247.25
2016/3/25,25.39,27.13,49.49,68.26,56.16,66.96,24.1,20.52,53.47,,13.63,19.4,12.26,34.73,32.84,7.13,13.15,10.32,19.31,8.76,7.8,13.44,12.63,,11.39,195.39,47.85,37.25,79.41,11.6,141.96,34.74,216.4,,31.01,241.26,47.76,195.94,63.8,7.88,"2,361.67",9.82,96.47,89.74,62.46,125.49,69.66,82.85,62.32,239.61
2016/3/28,25.43,26.63,50.19,68.95,56.41,67.21,23.97,20.2,55.49,,13.63,19.17,12.26,34.73,32.84,7.06,13.18,10.36,19.27,8.72,7.76,13.36,12.63,,11.35,193.65,47.85,37.73,78.98,11.6,142.86,34.53,213.29,,31.34,241.68,47.59,196.35,63.55,8.03,"2,328.21",10.27,95.6,89.74,62.28,124.6,69.4,83.54,62.41,227.92
2016/3/29,24.9,26.4,49.14,68.6,55.99,66.87,23.56,20.15,56.19,,13.51,18.82,12.22,34.29,32.32,6.98,13.11,10.23,19.27,8.56,7.75,13.28,12.55,,11.39,196.7,47.25,34.92,77.69,11.43,142.86,34.61,216.85,,31.5,240.84,46.83,197.19,62.88,7.92,"2,313.87",10.04,95.16,88.88,61.94,122.8,69.4,82.75,61.18,226.12
2016/3/30,25.35,27.17,48.97,69.64,56.92,68.24,24.14,20.24,55.92,,13.72,19.32,12.3,34.55,32.88,7.19,13.18,10.41,19.27,8.76,7.82,13.56,12.63,,11.43,205.42,48.19,35.36,80.01,11.74,145.1,34.7,221.74,,32.5,240.42,48.02,195.94,64.14,8.05,"2,466.85",10.32,96.47,89.74,61.94,127.29,69.4,82.75,61.18,240.06
2016/3/31,25.55,26.67,49.14,68.78,56.92,68.32,23.56,20.43,56.71,,13.31,19.17,12.37,35.64,33.4,7.22,13.11,10.32,19.27,8.68,7.93,13.6,12.59,,11.39,204.55,48.28,36.02,79.58,11.78,145.55,34.66,219.51,,32.5,242.95,47.42,197.19,62.96,7.98,"2,385.58",10.22,95.6,89.74,62.37,127.29,68.88,83.83,63.29,237.36
2016/4/1,24.98,26.04,48.53,68.52,56.33,69.09,22.93,20.01,56.1,,13.43,19.13,12.14,35.12,32.71,7.11,13.15,10.18,19.06,8.64,7.8,13.4,12.59,,11.35,205.86,47.68,35.19,79.92,11.65,142.41,34.61,214.18,,31.92,238.32,47.26,195.94,61.54,7.85,"2,399.92",10.18,95.6,89.74,61.59,125.49,69.01,82.05,63.46,232.87
2016/4/6,24.33,25.4,48.36,66.97,55.57,67.04,22.26,19.51,55.92,,13.27,18.74,12.1,33.94,31.89,6.88,12.89,10.14,18.76,8.49,7.66,13.04,12.44,,11.31,201.93,46.99,34.22,77.17,11.29,137.92,34.05,205.29,,33.08,238.32,46.58,189.27,60.95,7.59,"2,366.45",10,93.42,88.02,60.99,125.49,71.22,80.27,63.46,236.46
2016/4/7,24.21,25,48.01,67.48,54.56,66.96,22.08,18.92,55.13,,13.23,18.36,11.99,34.16,31.54,6.84,12.78,9.82,18.76,8.56,7.58,12.84,12.32,,11.23,198.44,46.64,35.14,77.08,11.16,138.81,33.7,203.52,,32.79,238.32,46.41,189.68,61.87,7.43,"2,404.70",9.77,94.29,89.31,61.16,123.25,72.77,80.57,62.15,228.82
2016/4/8,24.5,25,48.36,68,55.23,68.24,21.73,19.33,55.22,,13.15,18.01,11.95,34.42,31.46,6.88,12.85,9.73,18.72,8.6,7.7,13.04,12.36,,11.23,198.88,47.16,35.23,77.34,11.29,141.51,33.48,203.96,,32.46,238.32,46.83,188.43,61.12,8.01,"2,337.77",10.09,94.73,89.31,61.16,125.49,72.9,80.97,62.32,229.72
2016/4/11,24.5,25.18,49.49,68.09,55.15,68.58,22.44,19.29,56.98,,13.47,18.43,12.03,34.12,31.11,6.84,12.85,9.73,18.93,8.56,7.73,12.96,12.4,,11.23,196.26,47.07,35.41,77.26,11.16,142.41,33.48,206.18,,32.62,237.48,46.83,190.94,59.86,8.13,"2,376.02",10.13,95.6,91.03,62.2,125.49,73.81,80.27,62.76,233.32
2016/4/12,24.74,25.36,49.67,68.52,54.98,69,22.22,19.7,57.41,,13.39,18.32,12.06,34.29,31.02,6.83,12.75,9.55,19.02,8.72,7.66,13,12.44,,11.23,198.88,48.45,35.05,78.55,11.43,142.41,32.88,197.3,,32.41,237.06,46.83,186.77,58.85,8,"2,270.84",10,95.6,90.6,61.85,123.7,75.24,81.07,62.94,231.52
